
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
    97.235923894      4,366,137,124      umc_cas_cmd.all                  # 279432.8 MB/s  umc_mem_bandwidth   
    97.235923894      1,005,961,738 ns   duration_time                                                         
    98.237507772      4,347,122,280      umc_cas_cmd.all                  # 278215.8 MB/s  umc_mem_bandwidth   
    98.237507772      1,001,583,878 ns   duration_time                                                         
    99.239926488      4,342,384,432      umc_cas_cmd.all                  # 277912.6 MB/s  umc_mem_bandwidth   
    99.239926488      1,002,418,716 ns   duration_time                                                         
   100.244951825      4,357,318,894      umc_cas_cmd.all                  # 278868.4 MB/s  umc_mem_bandwidth   
   100.244951825      1,005,025,337 ns   duration_time                                                         
   101.246521686      4,318,918,083      umc_cas_cmd.all                  # 276410.8 MB/s  umc_mem_bandwidth   
   101.246521686      1,001,569,861 ns   duration_time                                                         
   102.247948116      4,337,800,754      umc_cas_cmd.all                  # 277619.2 MB/s  umc_mem_bandwidth   
   102.247948116      1,001,426,430 ns   duration_time                                                         
   103.250974434      4,330,914,758      umc_cas_cmd.all                  # 277178.5 MB/s  umc_mem_bandwidth   
   103.250974434      1,003,026,318 ns   duration_time                                                         
   104.254952696      4,377,641,876      umc_cas_cmd.all                  # 280169.1 MB/s  umc_mem_bandwidth   
   104.254952696      1,003,978,262 ns   duration_time                                                         
#           time             counts unit events
   105.256518027      4,320,636,777      umc_cas_cmd.all                  # 276520.8 MB/s  umc_mem_bandwidth   
   105.256518027      1,001,565,331 ns   duration_time                                                         
   106.258536520      4,347,693,958      umc_cas_cmd.all                  # 278252.4 MB/s  umc_mem_bandwidth   
   106.258536520      1,002,018,493 ns   duration_time                                                         
   107.261939949      4,355,624,712      umc_cas_cmd.all                  # 278760.0 MB/s  umc_mem_bandwidth   
   107.261939949      1,003,403,429 ns   duration_time                                                         
   108.263512630      4,367,216,658      umc_cas_cmd.all                  # 279501.9 MB/s  umc_mem_bandwidth   
   108.263512630      1,001,572,681 ns   duration_time                                                         
   109.266931989      4,366,007,250      umc_cas_cmd.all                  # 279424.5 MB/s  umc_mem_bandwidth   
   109.266931989      1,003,419,359 ns   duration_time                                                         
   110.267935937      4,348,252,265      umc_cas_cmd.all                  # 278288.1 MB/s  umc_mem_bandwidth   
   110.267935937      1,001,003,948 ns   duration_time                                                         
   111.268937475      4,347,026,251      umc_cas_cmd.all                  # 278209.7 MB/s  umc_mem_bandwidth   
   111.268937475      1,001,001,538 ns   duration_time                                                         
   112.271916313      4,359,240,269      umc_cas_cmd.all                  # 278991.4 MB/s  umc_mem_bandwidth   
   112.271916313      1,002,978,838 ns   duration_time                                                         
   113.272945101      4,327,498,344      umc_cas_cmd.all                  # 276959.9 MB/s  umc_mem_bandwidth   
   113.272945101      1,001,028,788 ns   duration_time                                                         
   114.273946730      4,320,631,500      umc_cas_cmd.all                  # 276520.4 MB/s  umc_mem_bandwidth   
   114.273946730      1,001,001,629 ns   duration_time                                                         
   115.276939057      4,315,390,073      umc_cas_cmd.all                  # 276185.0 MB/s  umc_mem_bandwidth   
   115.276939057      1,002,992,327 ns   duration_time                                                         
   116.281949424      4,326,314,094      umc_cas_cmd.all                  # 276884.1 MB/s  umc_mem_bandwidth   
